matrix,one_percentage
c499.000,7.921%
c499.001,8.251%
c499.002,8.251%
c499.003,7.673%
c499.004,7.673%
c499.005,8.168%
c499.008,5.198%
c499.009,7.673%
c499.010,6.931%
c499.011,6.931%
c499.012,8.02%
c499.013,7.343%
c499.014,6.931%
c499.015,11.033%
c499.018,4.95%
c499.019,7.921%
c499.020,5.021%
c499.021,8.218%
c499.022,8.581%
c499.023,6.821%
c499.024,4.815%
c499.025,10.341%
c499.028,5.198%
c499.029,6.876%
c499.030,6.051%
c499.031,6.931%
c499.032,5.611%
c499.033,8.168%
c499.034,7.492%
c499.035,6.577%
c499.038,7.129%
c499.039,8.746%
c499.040,6.188%
c499.041,7.921%
c499.042,7.97%
c499.043,7.616%
c499.044,6.986%
c499.045,6.86%
c499.048,6.843%
c499.049,6.751%
c499.050,7.178%
c499.051,5.596%
c499.052,6.955%
c499.053,7.471%
c499.054,6.403%
c499.055,6.628%
c499.058,6.498%
c499.059,6.907%
c499.060,6.683%
c499.061,6.467%
c499.062,7.284%
c499.063,6.436%
c499.064,6.216%
c499.065,6.307%
c499.068,6.563%
c499.069,6.312%
c499.070,5.866%
c499.071,6.334%
c499.072,7.682%
c499.073,6.55%
c499.074,7.64%
c499.075,6.948%
c499.078,6.965%
c499.079,6.586%
c499.080,7.037%
c499.081,6.421%
c499.082,6.229%
c499.083,6.882%
c499.084,5.092%
c499.085,7.115%
c499.088,6.706%
c499.089,6.811%
c499.090,6.71%
c499.091,6.06%
c499.092,6.662%
c499.093,5.743%
c499.094,6.476%
c499.095,6.799%
c499.098,5.001%
c499.099,5.296%
c499.100,7.402%
c499.101,7.561%
c499.102,6.977%
c499.103,5.393%
c499.104,6.496%
c499.105,6.688%
c499.106,6.227%
c499.107,5.108%
c499.108,7.345%
c499.109,6.524%
c499.110,6.715%
c499.111,5.905%
c499.112,5.723%
c499.113,5.74%
c499.114,5.491%
c499.115,6.703%
c499.116,8.936%
c499.117,6.214%
c499.118,6.843%
c499.119,6.225%
c499.120,6.451%
c499.121,5.88%
c499.122,5.913%
c499.123,6.126%
c499.124,6.095%
c499.125,5.738%
c499.126,5.273%
c499.127,5.455%
c499.128,5.979%
c499.129,6.17%
c499.130,5.439%
c499.131,6.34%
c499.132,6.144%
c499.133,5.756%
c499.134,6.214%
c499.135,5.487%
c499.136,5.652%
c499.137,6.128%
c499.138,5.502%
c499.139,6.02%
c499.140,5.758%
c499.141,5.906%
c499.142,5.871%
c499.143,5.971%
c499.144,5.452%
c499.145,5.43%
c499.146,5.601%
c499.147,5.585%
c499.148,5.708%
c499.149,5.229%
c499.150,5.288%
c499.151,5.656%
c499.152,4.98%
c499.153,5.572%
c499.154,5.473%
c499.155,5.499%
c499.156,5.048%
c499.157,5.424%
c499.158,4.484%
c499.159,5.884%
c499.160,5.271%
