matrix,one_percentage
74283.000,37.778%
74283.001,34.722%
74283.002,34.722%
74283.003,31.944%
74283.004,25.926%
74283.005,27.778%
74283.006,38.889%
74283.007,26.852%
74283.008,32.407%
74283.009,32.407%
74283.010,29.321%
74283.011,36.42%
74283.012,34.568%
74283.013,37.698%
74283.014,39.352%
74283.015,33.642%
74283.016,43.148%
74283.017,33.889%
74283.018,32.639%
74283.019,40.972%
74283.020,36.928%
74283.021,30.787%
74283.022,44.667%
74283.023,39.683%
74283.024,41.402%
74283.025,33.974%
74283.026,38.272%
74283.027,40.635%
74283.028,43.621%
74283.029,30.185%
