matrix,one_percentage
c880.000,0.783%
c880.001,11.836%
c880.002,3.742%
c880.003,0.522%
c880.004,1.044%
c880.005,0.783%
c880.008,4.178%
c880.009,4.047%
c880.010,10.891%
c880.011,2.715%
c880.012,5.048%
c880.013,2.959%
c880.014,4.787%
c880.015,4.178%
c880.018,10.22%
c880.019,4.178%
c880.020,8.877%
c880.021,2.611%
c880.022,0.914%
c880.023,13.381%
c880.024,3.029%
c880.025,2.872%
c880.028,3.133%
c880.029,4.482%
c880.030,2.611%
c880.031,0.836%
c880.032,12.412%
c880.033,8.564%
c880.034,8.141%
c880.035,2.193%
c880.038,2.462%
c880.039,2.82%
c880.040,1.915%
c880.041,11.581%
c880.042,3.557%
c880.043,2.219%
c880.044,2.089%
c880.045,3.046%
c880.048,7.857%
c880.049,0.827%
c880.050,7.471%
c880.051,1.865%
c880.052,3.278%
c880.053,2.089%
c880.054,3.347%
c880.055,0.783%
c880.058,7.273%
c880.059,1.753%
c880.060,7.012%
c880.061,2.54%
c880.062,3.481%
c880.063,9.031%
c880.064,3.111%
c880.065,1.932%
c880.068,6.585%
c880.069,3.068%
c880.070,8.573%
c880.071,3.329%
c880.072,2.37%
c880.073,2.959%
c880.074,6.266%
c880.075,2.918%
c880.078,9.261%
c880.079,3.808%
c880.080,8.396%
c880.081,2.257%
c880.082,2.749%
c880.083,3.053%
c880.084,5.554%
c880.085,3.575%
c880.088,5.764%
c880.089,1.788%
c880.090,3.747%
c880.091,2.654%
c880.092,4.362%
c880.093,7.684%
c880.094,2.17%
c880.095,1.545%
c880.098,5.363%
c880.099,3.563%
c880.100,2.592%
c880.101,3.564%
c880.102,2.311%
c880.103,3.203%
c880.104,4.511%
c880.105,2.575%
c880.108,1.486%
c880.109,4.221%
c880.110,2.663%
c880.111,7.061%
c880.112,1.846%
c880.113,2.725%
c880.114,3.035%
c880.115,3.419%
c880.118,2.549%
c880.119,3.937%
c880.120,2.415%
c880.121,2.469%
c880.122,1.828%
c880.123,5.44%
c880.124,4.386%
c880.125,2.503%
c880.128,3.213%
c880.129,7.093%
c880.130,3.73%
c880.131,2.567%
c880.132,2.422%
c880.133,5.821%
c880.134,1.697%
c880.135,3.003%
c880.138,3.046%
c880.139,4.426%
c880.140,5.405%
c880.141,3.452%
c880.142,3.584%
c880.143,3.243%
c880.144,5.884%
c880.145,1.632%
c880.148,2.322%
c880.149,4.24%
c880.150,3.372%
c880.151,3.848%
c880.152,2.245%
c880.153,2.611%
c880.154,3.348%
c880.155,4.083%
c880.158,3.146%
c880.159,5.172%
c880.160,3.71%
c880.161,4.985%
c880.162,1.795%
c880.163,3.157%
c880.164,3.939%
c880.165,3.333%
c880.168,5.535%
c880.169,2.681%
c880.170,4.791%
c880.171,4.308%
c880.172,2.645%
c880.173,3.173%
c880.174,2.148%
c880.175,1.737%
c880.178,5.374%
c880.179,3.292%
c880.180,3.514%
c880.181,3.205%
c880.182,3.676%
c880.183,3.085%
c880.184,2.997%
c880.185,5.23%
c880.188,2.056%
c880.189,2.578%
c880.190,3.133%
c880.191,1.828%
c880.192,3.438%
c880.193,5.277%
c880.194,2.912%
c880.195,2.447%
c880.198,2.944%
c880.199,4.009%
c880.200,1.796%
c880.201,2.219%
c880.202,2.719%
c880.203,2.422%
c880.204,3.846%
c880.205,4.241%
c880.208,5.145%
c880.209,2.401%
c880.210,4.676%
c880.211,2.35%
c880.212,2.195%
c880.213,2.663%
c880.214,4.804%
c880.215,3.24%
c880.218,3.758%
c880.219,2.333%
c880.220,2.434%
c880.221,3.172%
c880.222,2.318%
c880.223,2.173%
c880.224,2.564%
c880.225,5.781%
c880.228,3.682%
c880.229,2.244%
c880.230,3.071%
c880.231,2.357%
c880.232,4.217%
c880.233,2.52%
c880.234,2.415%
c880.235,4.833%
c880.238,2.594%
c880.239,2.273%
c880.240,2.836%
c880.241,4.672%
c880.242,3.018%
c880.243,3.989%
c880.244,2.314%
c880.245,2.459%
