matrix,one_percentage
c432.000,11.563%
c432.001,7.188%
c432.002,24.688%
c432.003,6.25%
c432.004,16.25%
c432.005,5.313%
c432.006,7.083%
c432.007,9.531%
c432.008,16.875%
c432.009,21.875%
c432.010,16.063%
c432.011,18.839%
c432.012,9.514%
c432.013,15.536%
c432.014,18.477%
c432.015,5.833%
c432.016,11.771%
c432.017,7.969%
c432.018,17.386%
c432.019,15.156%
c432.020,8.594%
c432.021,13.125%
c432.022,12.279%
c432.023,13.932%
c432.024,16.375%
c432.025,10.469%
c432.026,11.563%
c432.027,6.597%
c432.028,17.344%
c432.029,11.302%
c432.030,11.414%
c432.031,17.109%
c432.032,13.363%
c432.033,14.964%
c432.034,10.25%
c432.035,11.25%
c432.036,10.114%
c432.037,18.598%
c432.038,10.491%
c432.039,8.914%
c432.040,13.031%
c432.041,8.72%
c432.042,10.208%
c432.043,8.72%
c432.044,14.143%
