matrix,one_percentage
c1355.000,8.608%
c1355.001,5.678%
c1355.002,5.586%
c1355.003,8.608%
c1355.004,8.852%
c1355.005,8.333%
c1355.008,8.333%
c1355.009,8.516%
c1355.010,8.822%
c1355.011,5.468%
c1355.012,8.761%
c1355.013,6.227%
c1355.014,8.687%
c1355.015,7.253%
c1355.018,8.535%
c1355.019,7.326%
c1355.020,7.253%
c1355.021,10.462%
c1355.022,7.669%
c1355.023,6.648%
c1355.025,6.122%
c1355.028,9.759%
c1355.029,7.659%
c1355.030,8.681%
c1355.031,8.462%
c1355.032,7.428%
c1355.033,5.592%
c1355.034,9.105%
c1355.038,6.96%
c1355.039,8.681%
c1355.040,8.593%
c1355.041,7.524%
c1355.042,7.957%
c1355.043,7.176%
c1355.045,8.516%
c1355.048,8.077%
c1355.049,4.617%
c1355.050,6.572%
c1355.052,5.055%
c1355.053,7.692%
c1355.054,7.501%
c1355.058,7.409%
c1355.059,7.949%
c1355.060,8.538%
c1355.061,7.195%
c1355.064,4.714%
c1355.065,7.021%
c1355.068,6.652%
c1355.069,4.945%
c1355.070,6.402%
c1355.071,6.845%
c1355.072,10.556%
c1355.073,9.871%
c1355.074,6.618%
c1355.075,6.502%
c1355.078,4.973%
c1355.080,6.434%
c1355.081,6.027%
c1355.083,6.459%
c1355.084,6.52%
c1355.085,8.313%
c1355.090,5.173%
c1355.091,6.919%
c1355.093,9.71%
c1355.094,7.763%
c1355.095,7.019%
c1355.098,6.432%
c1355.099,6.447%
c1355.100,5.871%
c1355.102,5.914%
c1355.103,12.163%
c1355.108,7.024%
c1355.109,5.242%
c1355.111,6.424%
c1355.113,7.703%
c1355.114,6.976%
c1355.118,5.136%
c1355.120,5.308%
c1355.121,5.867%
c1355.122,5.759%
c1355.123,5.563%
c1355.124,5.505%
c1355.125,5.149%
c1355.128,6.041%
c1355.129,5.628%
c1355.130,5.839%
c1355.132,5.719%
c1355.133,5.861%
c1355.135,6.213%
c1355.138,6.005%
c1355.139,6.147%
c1355.140,5.341%
c1355.142,5.0%
c1355.145,6.578%
c1355.149,6.848%
c1355.150,5.37%
c1355.151,8.097%
c1355.153,6.296%
