matrix,one_percentage
74182.000,13.158%
74182.001,10.526%
74182.002,15.789%
74182.003,10.526%
74182.004,10.526%
74182.005,21.053%
74182.006,5.263%
74182.007,5.263%
74182.008,21.053%
74182.009,5.263%
74182.010,10.526%
74182.011,25.0%
74182.012,15.789%
74182.013,15.789%
74182.014,7.895%
74182.015,23.684%
74182.016,10.526%
74182.017,10.526%
74182.018,13.158%
74182.019,18.421%
74182.020,21.053%
74182.021,10.526%
74182.022,21.053%
74182.023,8.772%
74182.024,11.842%
74182.025,19.298%
74182.026,11.579%
74182.027,10.526%
74182.028,18.421%
74182.029,17.544%
74182.030,15.789%
74182.031,18.045%
74182.032,11.278%
74182.033,10.526%
74182.034,18.421%
74182.035,13.158%
74182.036,19.737%
74182.037,10.526%
74182.038,10.526%
74182.039,17.105%
74182.040,20.0%
74182.041,18.947%
74182.042,18.947%
74182.043,13.684%
74182.044,18.947%
74182.045,13.158%
74182.046,13.158%
74182.047,13.684%
74182.048,10.526%
74182.049,15.038%
