matrix,one_percentage
c3540.000,2.317%
c3540.002,2.636%
c3540.003,1.917%
c3540.004,4.446%
c3540.005,2.516%
c3540.008,3.295%
c3540.009,1.897%
c3540.011,2.487%
c3540.012,10.343%
c3540.013,4.458%
c3540.015,6.794%
c3540.019,4.044%
c3540.020,4.245%
c3540.021,4.126%
c3540.022,3.176%
c3540.024,3.401%
c3540.025,5.175%
c3540.028,7.782%
c3540.030,3.108%
c3540.032,6.485%
c3540.034,3.582%
c3540.035,4.374%
c3540.040,7.39%
c3540.052,4.16%
c3540.053,3.427%
c3540.063,5.976%
c3540.068,5.672%
c3540.073,4.03%
c3540.081,4.384%
c3540.091,4.225%
c3540.094,2.682%
c3540.099,4.34%
c3540.102,4.319%
c3540.105,3.806%
c3540.109,5.128%
c3540.112,5.228%
