matrix,one_percentage
c7552.000,5.398%
c7552.001,2.197%
c7552.002,1.756%
c7552.003,1.879%
c7552.004,2.896%
c7552.005,0.028%
c7552.008,0.028%
c7552.009,0.028%
c7552.010,6.79%
c7552.011,1.583%
c7552.012,0.043%
c7552.013,5.054%
c7552.014,0.569%
c7552.015,1.887%
c7552.018,1.57%
c7552.019,0.693%
c7552.020,5.937%
c7552.021,0.461%
c7552.022,0.527%
c7552.023,2.267%
c7552.024,2.352%
c7552.025,1.442%
c7552.028,1.659%
c7552.029,5.295%
c7552.030,1.936%
c7552.031,1.294%
c7552.032,4.575%
c7552.033,1.654%
c7552.034,1.265%
c7552.035,6.392%
c7552.038,5.842%
c7552.039,2.223%
c7552.040,1.83%
c7552.041,2.08%
c7552.042,1.801%
c7552.044,3.789%
c7552.045,1.519%
c7552.048,1.17%
c7552.049,1.211%
c7552.050,2.915%
c7552.051,2.268%
c7552.052,1.726%
c7552.053,1.735%
c7552.054,3.687%
c7552.055,1.149%
c7552.058,5.323%
c7552.059,2.009%
c7552.061,5.223%
c7552.062,1.024%
c7552.063,2.203%
c7552.064,5.147%
c7552.065,1.943%
c7552.068,3.714%
c7552.069,1.396%
c7552.070,1.315%
c7552.071,1.542%
c7552.072,2.14%
c7552.073,1.692%
c7552.074,1.539%
c7552.075,1.309%
c7552.078,5.127%
c7552.079,3.628%
c7552.080,1.807%
c7552.081,2.91%
c7552.083,1.36%
c7552.084,1.487%
c7552.085,2.962%
c7552.088,1.213%
c7552.089,1.972%
c7552.090,1.296%
c7552.092,2.948%
c7552.093,2.454%
c7552.095,3.468%
c7552.098,4.658%
c7552.099,1.268%
c7552.100,1.77%
c7552.101,1.188%
c7552.102,1.392%
c7552.103,4.576%
c7552.105,3.393%
c7552.109,1.387%
c7552.110,1.958%
c7552.111,1.14%
c7552.113,1.647%
c7552.114,2.315%
c7552.118,2.66%
c7552.119,3.322%
c7552.121,2.881%
c7552.122,1.617%
c7552.124,1.096%
c7552.125,1.628%
c7552.128,4.149%
c7552.129,1.221%
c7552.130,3.282%
c7552.131,4.523%
c7552.132,1.589%
c7552.134,4.419%
c7552.135,1.564%
c7552.138,1.577%
c7552.139,3.552%
c7552.140,1.505%
c7552.141,4.344%
c7552.142,3.79%
c7552.144,1.18%
c7552.148,3.511%
c7552.149,3.502%
c7552.150,3.474%
c7552.151,2.6%
c7552.153,1.537%
c7552.154,3.79%
c7552.158,1.902%
c7552.160,3.044%
c7552.161,2.847%
c7552.162,1.224%
c7552.163,3.298%
c7552.170,1.438%
c7552.171,3.685%
c7552.172,3.02%
c7552.173,1.958%
c7552.174,3.717%
c7552.175,1.872%
c7552.178,2.757%
c7552.179,1.998%
c7552.180,1.417%
c7552.181,3.178%
c7552.182,2.995%
c7552.184,1.612%
c7552.188,3.625%
c7552.189,1.453%
c7552.190,1.974%
c7552.191,1.444%
c7552.195,1.438%
c7552.199,3.28%
c7552.204,1.971%
c7552.208,1.731%
c7552.209,1.242%
c7552.212,1.214%
c7552.214,1.446%
c7552.218,2.567%
c7552.219,1.88%
c7552.220,2.513%
c7552.221,1.479%
c7552.224,3.107%
c7552.225,1.034%
c7552.228,2.42%
c7552.229,1.956%
c7552.231,1.464%
c7552.232,1.538%
c7552.235,1.862%
c7552.239,1.071%
c7552.241,1.877%
c7552.242,1.691%
c7552.248,1.698%
c7552.251,2.415%
c7552.252,2.239%
c7552.254,1.722%
c7552.255,1.466%
c7552.258,1.907%
c7552.260,3.655%
c7552.262,1.89%
c7552.265,1.826%
c7552.275,1.696%
c7552.278,1.873%
c7552.279,1.675%
c7552.281,1.863%
c7552.282,1.973%
c7552.284,1.56%
c7552.285,1.509%
c7552.288,1.938%
c7552.289,1.591%
c7552.299,1.756%
c7552.305,1.739%
c7552.309,1.85%
c7552.310,1.556%
c7552.311,1.477%
c7552.325,1.425%
