matrix,one_percentage
c5315.000,0.477%
c5315.001,0.325%
c5315.002,0.462%
c5315.003,0.433%
c5315.004,0.321%
c5315.005,0.91%
c5315.008,1.756%
c5315.009,1.084%
c5315.010,1.756%
c5315.011,0.368%
c5315.012,0.321%
c5315.013,1.709%
c5315.014,0.65%
c5315.015,0.231%
c5315.018,0.676%
c5315.019,1.635%
c5315.020,1.694%
c5315.021,1.262%
c5315.022,1.092%
c5315.023,0.275%
c5315.024,0.811%
c5315.025,0.368%
c5315.028,0.26%
c5315.029,1.14%
c5315.030,0.629%
c5315.031,1.011%
c5315.032,0.242%
c5315.033,0.229%
c5315.034,0.266%
c5315.035,1.718%
c5315.038,0.322%
c5315.039,0.255%
c5315.040,0.323%
c5315.041,0.316%
c5315.042,1.619%
c5315.043,0.66%
c5315.044,0.768%
c5315.045,1.495%
c5315.048,0.623%
c5315.049,0.221%
c5315.050,0.209%
c5315.051,0.574%
c5315.052,1.665%
c5315.053,0.433%
c5315.054,1.576%
c5315.055,0.709%
c5315.058,1.769%
c5315.059,0.45%
c5315.060,0.458%
c5315.061,0.533%
c5315.062,1.551%
c5315.063,2.221%
c5315.064,0.314%
c5315.065,0.543%
c5315.068,0.607%
c5315.069,1.586%
c5315.070,0.897%
c5315.071,0.394%
c5315.072,1.958%
c5315.073,1.541%
c5315.074,1.847%
c5315.075,0.438%
c5315.078,0.659%
c5315.079,1.426%
c5315.080,2.273%
c5315.081,0.591%
c5315.082,1.394%
c5315.083,1.42%
c5315.084,0.506%
c5315.085,0.378%
c5315.088,2.089%
c5315.089,0.433%
c5315.090,0.343%
c5315.091,2.032%
c5315.092,0.485%
c5315.094,1.714%
c5315.095,0.568%
c5315.099,1.296%
c5315.100,0.572%
c5315.101,0.277%
c5315.102,0.459%
c5315.103,0.561%
c5315.104,0.967%
c5315.105,1.269%
c5315.108,0.433%
c5315.109,0.406%
c5315.110,0.845%
c5315.111,0.432%
c5315.113,0.618%
c5315.115,0.354%
c5315.118,0.799%
c5315.119,0.575%
c5315.120,0.791%
c5315.121,1.417%
c5315.122,2.076%
c5315.123,0.507%
c5315.124,0.28%
c5315.125,0.379%
c5315.129,1.172%
c5315.130,0.735%
c5315.131,0.754%
c5315.132,1.09%
c5315.133,0.532%
c5315.134,0.482%
c5315.135,0.855%
c5315.139,1.161%
c5315.140,0.385%
c5315.141,1.826%
c5315.142,0.558%
c5315.143,0.287%
c5315.144,0.82%
c5315.145,1.594%
c5315.149,0.518%
c5315.150,1.978%
c5315.151,1.128%
c5315.152,0.37%
c5315.153,0.716%
c5315.154,0.709%
c5315.155,0.336%
c5315.158,0.674%
c5315.159,0.339%
c5315.160,0.556%
c5315.161,0.867%
c5315.162,0.387%
c5315.163,1.097%
c5315.164,0.501%
c5315.165,0.681%
c5315.168,0.548%
c5315.169,0.652%
c5315.170,0.928%
c5315.171,0.474%
c5315.172,0.624%
c5315.173,0.303%
c5315.174,1.045%
c5315.175,1.055%
c5315.178,1.013%
c5315.180,0.906%
c5315.181,0.31%
c5315.183,0.672%
c5315.185,0.485%
c5315.188,0.349%
c5315.189,1.099%
c5315.190,0.303%
c5315.191,0.761%
c5315.192,0.965%
c5315.193,0.67%
c5315.194,0.324%
c5315.198,0.347%
c5315.199,0.579%
c5315.200,1.037%
c5315.201,0.96%
c5315.202,0.931%
c5315.203,0.312%
c5315.204,0.334%
c5315.205,0.339%
c5315.208,0.662%
c5315.209,0.329%
c5315.211,0.915%
c5315.220,0.317%
c5315.222,0.728%
c5315.223,0.348%
c5315.224,0.634%
c5315.228,0.549%
c5315.230,0.371%
c5315.231,0.927%
c5315.233,0.681%
c5315.235,0.725%
c5315.238,1.689%
c5315.239,0.638%
c5315.240,0.338%
c5315.241,0.379%
c5315.242,0.715%
c5315.243,0.902%
c5315.244,1.611%
c5315.249,0.39%
c5315.251,1.073%
c5315.253,0.661%
c5315.254,1.642%
c5315.255,0.857%
c5315.258,0.735%
c5315.259,0.53%
c5315.260,0.901%
c5315.261,0.318%
c5315.263,0.574%
c5315.264,1.03%
c5315.265,0.998%
c5315.270,0.616%
c5315.271,0.629%
c5315.274,0.344%
c5315.275,0.517%
c5315.279,1.041%
c5315.280,0.845%
c5315.281,1.075%
c5315.282,0.323%
c5315.283,0.576%
c5315.284,0.992%
c5315.285,1.02%
c5315.288,0.672%
c5315.289,0.679%
c5315.292,0.933%
c5315.293,0.332%
c5315.294,0.649%
c5315.295,1.523%
c5315.298,0.566%
c5315.300,0.348%
c5315.301,0.378%
c5315.303,0.57%
c5315.304,0.514%
c5315.305,0.406%
c5315.308,0.346%
c5315.309,0.82%
c5315.310,0.612%
c5315.312,0.659%
c5315.314,0.371%
c5315.315,1.408%
c5315.318,0.648%
c5315.319,0.646%
c5315.320,0.402%
c5315.321,0.592%
c5315.323,0.783%
c5315.324,0.342%
c5315.329,0.919%
c5315.330,0.348%
c5315.331,0.619%
c5315.332,0.624%
c5315.333,0.77%
c5315.338,0.361%
c5315.340,0.349%
c5315.343,0.546%
c5315.348,0.624%
c5315.349,0.345%
c5315.351,0.37%
c5315.353,0.755%
c5315.354,0.34%
c5315.355,0.593%
c5315.359,0.723%
c5315.360,0.708%
c5315.361,0.574%
c5315.363,0.553%
c5315.364,0.526%
c5315.365,0.582%
c5315.368,0.548%
c5315.369,0.576%
c5315.370,0.397%
c5315.371,0.573%
c5315.375,0.555%
c5315.378,0.691%
c5315.379,0.544%
