matrix,one_percentage
c2670.000,0.084%
c2670.001,0.084%
c2670.002,7.826%
c2670.003,1.928%
c2670.004,0.084%
c2670.005,9.933%
c2670.008,0.084%
c2670.009,3.856%
c2670.010,0.14%
c2670.011,3.055%
c2670.012,6.658%
c2670.013,2.403%
c2670.014,0.363%
c2670.015,8.848%
c2670.018,0.307%
c2670.019,0.084%
c2670.020,0.419%
c2670.021,2.403%
c2670.022,1.872%
c2670.023,0.369%
c2670.024,0.147%
c2670.025,6.22%
c2670.028,0.531%
c2670.029,1.257%
c2670.030,1.475%
c2670.031,8.263%
c2670.032,0.21%
c2670.033,0.872%
c2670.034,1.63%
c2670.035,0.377%
c2670.038,0.479%
c2670.039,0.168%
c2670.040,0.156%
c2670.041,0.74%
c2670.042,1.09%
c2670.043,0.732%
c2670.044,0.335%
c2670.045,1.986%
c2670.048,0.251%
c2670.049,5.239%
c2670.050,0.732%
c2670.051,1.383%
c2670.052,0.887%
c2670.053,4.586%
c2670.054,0.987%
c2670.055,0.566%
c2670.058,6.384%
c2670.059,0.659%
c2670.060,1.018%
c2670.061,0.617%
c2670.062,0.512%
c2670.063,0.664%
c2670.064,0.861%
c2670.065,0.587%
c2670.068,1.819%
c2670.069,6.136%
c2670.070,0.503%
c2670.071,1.328%
c2670.072,1.635%
c2670.073,0.861%
c2670.074,0.82%
c2670.075,0.58%
c2670.078,0.754%
c2670.079,0.58%
c2670.080,5.508%
c2670.081,1.551%
c2670.082,0.542%
c2670.083,0.484%
c2670.084,1.221%
c2670.085,1.565%
c2670.088,0.569%
c2670.089,1.69%
c2670.090,0.911%
c2670.091,0.728%
c2670.092,1.221%
c2670.094,0.802%
c2670.095,0.527%
c2670.098,0.569%
c2670.099,1.453%
c2670.100,0.503%
c2670.101,5.175%
c2670.102,1.545%
c2670.103,2.527%
c2670.104,2.784%
c2670.105,1.478%
c2670.108,1.17%
c2670.109,3.421%
c2670.110,5.175%
c2670.112,1.292%
c2670.113,0.891%
c2670.114,3.859%
c2670.115,1.122%
c2670.118,3.25%
c2670.120,2.709%
c2670.121,0.855%
c2670.122,3.722%
c2670.124,2.527%
c2670.125,0.528%
c2670.128,0.877%
c2670.129,1.086%
c2670.130,0.903%
c2670.131,0.855%
c2670.132,3.622%
c2670.133,1.147%
c2670.134,1.049%
c2670.135,4.517%
c2670.138,1.165%
c2670.140,1.165%
c2670.142,3.494%
c2670.144,0.834%
c2670.145,3.489%
c2670.149,1.127%
c2670.150,1.367%
c2670.151,1.195%
c2670.152,0.871%
c2670.154,3.368%
c2670.158,0.805%
c2670.159,0.58%
c2670.160,5.287%
c2670.161,1.255%
c2670.162,2.359%
c2670.163,0.654%
c2670.164,0.801%
c2670.165,1.132%
c2670.169,0.775%
c2670.170,3.168%
c2670.171,0.761%
c2670.172,2.25%
c2670.173,0.72%
c2670.174,5.066%
c2670.175,1.537%
c2670.179,0.777%
c2670.180,0.754%
c2670.184,1.557%
c2670.185,0.922%
c2670.188,0.698%
c2670.189,3.083%
c2670.190,1.158%
c2670.191,1.506%
c2670.193,0.99%
c2670.199,0.913%
c2670.201,1.263%
c2670.203,1.842%
c2670.204,0.987%
c2670.208,1.056%
c2670.210,1.056%
c2670.211,0.961%
c2670.212,0.949%
c2670.213,1.145%
c2670.214,1.376%
c2670.215,3.687%
c2670.221,0.631%
c2670.223,0.745%
c2670.224,0.959%
c2670.225,1.084%
c2670.228,0.935%
c2670.229,0.745%
c2670.230,1.598%
c2670.232,0.618%
c2670.234,0.622%
c2670.235,1.609%
c2670.239,0.622%
c2670.240,0.603%
c2670.241,1.609%
c2670.244,0.622%
c2670.248,0.722%
c2670.249,1.595%
c2670.251,0.598%
